PMVL[Source Name],PMVL[Holding date],PMVL[GROUPE],PMVL[ENTITE],PMVL[Selected Fund code],PMVL[ISIN],PMVL[Orig. name],PMVL[Quote],PMVL[Quote Date],PMVL[Quote Mode],PMVL[Quantity],PMVL[Inst. Nominal],PMVL[Purch. Val. (clean) (ptf cur.)],PMVL[VNC Agrege dirty (ptf cur.)],PMVL[PRMP MtM],PMVL[RefUnik Position],PMVL[Ref Unik Asset],PMVL[Ref Unik Codes],PMVL[CIC],PMVL[Inst Num],PMVL[Ref Unik Codes Completed],PMVL[PRMP VNC],PMVL[PRMP PMVL],PMVL[Parametres_Indices.TICKER],PMVL[PFMIndice.Perf J / J-1],PMVL[MtM Estimé],PMVL[PMVL Estimé],PMVL[CANTON],PMVL[3A],PMVL[PRATIC_PMVLEstimée],PMVL[PMVL Estimée + PRATIC],PMVL[MtM Estimée + PRATIC],PMVL[PFMIndice.Date J],PMVL[Ref Unik Light],PMVL[Ptf name],PMVL[Holding Date 2]
EXPORT_PRMP_ADP,2026-03-05T00:00:00,Groupe MH,MHRS,MRS2C,FR0011304278,TOCQUEVILLE MID CAP EURO ISRMH,3499.1,2026-03-03T00:00:00,P,1620,1,1731890,1731890,5668542,PP,FC_Act_EUR,PP_FAC_Act_EUR_SMC,FR41,7240253,PP_FAC_Act_EUR_SMC,1731890,3936652,M7EM,0.0162716277051581,5760778.405055052,4028888.4050550517,MHRS AG,Hors mandat MHRS AG,0,4028888.4050550517,5760778.405055052,2026-03-04T00:00:00,PP_FAC_Act,MHRS HM ACTIFS COTE,2026-03-05T00:00:00
EXPORT_PRMP_ADP,2026-03-05T00:00:00,Groupe MH,AUXIA,AUX2E,FR0007475975,MH Lazard action euro LC,497.13,2026-03-03T00:00:00,P,114872.6982,1,59527032.10360002,59527032.10360001,57106664.46,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,8009926,PP_FAC_Act_EUR_LC,59527032.10360001,-2420367.6436000094,M7EM,0.0162716277051581,58035882.8435765,-1491149.260023512,AUXIA AG,Hors mandat AUXIA AG,0,-1491149.260023512,58035882.8435765,2026-03-04T00:00:00,PP_FAC_Act,AUXIA HM ACT COTE,2026-03-05T00:00:00
EXPORT_PRMP_ADP,2026-03-05T00:00:00,Groupe MH,AUXIA,AUX2E,FR0011441583,LBPAM ISR Opti Euro Equity MH,2479.66,2026-03-03T00:00:00,P,7888,1,8412826.24,8412826.24,19559558.08,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873494,PP_FAC_Act_EUR_LC,8412826.24,11146731.839999998,M7EM,0.0162716277051581,19877823.927155174,11464997.687155174,AUXIA AG,Hors mandat AUXIA AG,0,11464997.687155174,19877823.927155174,2026-03-04T00:00:00,PP_FAC_Act,AUXIA HM ACT COTE,2026-03-05T00:00:00
EXPORT_PRMP_ADP,2026-03-05T00:00:00,Groupe MH,AUXIA,AUX2E,FR0007021936,FEDERIS ISR FRANCE MH,464.07,2026-03-03T00:00:00,P,60537,1,11652333.39,11652333.39,28093405.589999996,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873258,PP_FAC_Act_EUR_LC,11652333.39,16441072.199999996,M7EM,0.0162716277051581,28550531.02673048,16898197.63673048,AUXIA AG,Hors mandat AUXIA AG,0,16898197.63673048,28550531.02673048,2026-03-04T00:00:00,PP_FAC_Act,AUXIA HM ACT COTE,2026-03-05T00:00:00
EXPORT_PRMP_ADP,2026-03-05T00:00:00,Groupe MH,AUXIA,AUX2E,FR0007022967,LBPAM ACTIONS CROISSANCE EURO M,6454.44,2026-03-03T00:00:00,P,840,1,1476258,1476258,5421729.6,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873491,PP_FAC_Act_EUR_LC,1476258,3945471.5999999996,M7EM,0.0162716277051581,5509949.965569234,4033691.9655692345,AUXIA AG,Hors mandat AUXIA AG,0,4033691.9655692345,5509949.965569234,2026-03-04T00:00:00,PP_FAC_Act,AUXIA HM ACT COTE,2026-03-05T00:00:00
EXPORT_PRMP_ADP,2026-03-05T00:00:00,Groupe MH,AUXIA,AUX2E,FR0000986531,SELECTION VALEURS MOYENNES,985.94,2026-03-03T00:00:00,P,22218,1,8865004.54,8865004.54,21905614.92,PP,FC_Act_EUR,PP_FAC_Act_EUR_SMC,FR41,5873302,PP_FAC_Act_EUR_SMC,8865004.54,13040610.380000003,M7EM,0.0162716277051581,22262054.930630796,13397050.390630797,AUXIA AG,Hors mandat AUXIA AG,0,13397050.390630797,22262054.930630796,2026-03-04T00:00:00,PP_FAC_Act,AUXIA HM ACT COTE,2026-03-05T00:00:00
EXPORT_PRMP_ADP,2026-03-05T00:00:00,Groupe MH,AUXIA,AUX2E,FR0007057674,FEDERIS ISR ACTIONS US MM,4454.22,2026-03-03T00:00:00,P,8994,1,20430170.310000002,20430170.310000002,40061254.67999999,PP,FC_Act_US,PP_FAC_Act_US_LC,FR41,5876542,PP_FAC_Act_US_LC,20430170.310000002,19631084.36999999,,0,40061254.67999999,19631084.36999999,AUXIA AG,Hors mandat AUXIA AG,0,19631084.36999999,40061254.67999999,,PP_FAC_Act,AUXIA HM ACT COTE,2026-03-05T00:00:00
EXPORT_PRMP_ADP,2026-03-05T00:00:00,Groupe MH,AUXIA,AUX2E,FR001400CCX3,GEMEQUITY PART MH,150.34,2026-03-03T00:00:00,P,10886,1,1080979.8,1080979.8,1636601.24,PP,FC_Act_Emerg,PP_FAC_Act_Eme,XL41,9588501,PP_FAC_Act_Eme,1080979.8,555621.44,MSDEEEMN,-0.0418495730584606,1568110.1768390527,487130.37683905265,AUXIA AG,Hors mandat AUXIA AG,0,487130.37683905265,1568110.1768390527,2026-03-04T00:00:00,PP_FAC_Act,AUXIA HM ACT COTE,2026-03-05T00:00:00
EXPORT_PRMP_ADP,2026-03-05T00:00:00,Groupe MH,AUXIA,AUX2E,LU2541301847,EdRF EM Climate Bonds S EUR H,108.82,2026-03-03T00:00:00,P,35239,1,3518261.7600000007,3518261.7600000002,3834707.98,PP,FC_Taux_Emerg,PP_FAC_Taux_Eme,LU42,11008396,PP_FAC_Taux_Eme,3518261.7600000002,316446.21999999974,,0,3834707.98,316446.21999999974,AUXIA AG,Hors mandat AUXIA AG,0,316446.21999999974,3834707.98,,PP_FAC_Taux,AUXIA HM ACT COTE,2026-03-05T00:00:00
EXPORT_PRMP_ADP,2026-03-05T00:00:00,Groupe MH,AUXIA,AUX2E,FR0007040365,MH EDRAM HYBRIDES CORPORATE,33799.99,2026-03-03T00:00:00,P,186,1,5000211.96,5000211.96,6286798.14,PP,FC_Taux_HY,PP_FAC_Taux_Corp_HY,XL42,1334621,PP_FAC_Taux_Corp_HY,5000211.96,1286586.1799999997,HE00,0.00250412062445568,6302541.040884162,1302329.0808841623,AUXIA AG,Hors mandat AUXIA AG,0,1302329.0808841623,6302541.040884162,2026-03-04T00:00:00,PP_FAC_Taux,AUXIA HM ACT COTE,2026-03-05T00:00:00
EXPORT_PRMP_ADP,2026-03-05T00:00:00,Groupe MH,AUXIA ASSISTANCE,AAS2E,FR0011758044,LBPAM PRO ALTO M,1138.89,2026-03-03T00:00:00,P,1153,1,1152877.74,1152877.74,1313140.17,PP,FC_Div,PP_FAC_Taux_Corp_IG,FR42,5873495,PP_FAC_Taux_Corp_IG,1152877.74,160262.42999999993,,0,1313140.17,160262.42999999993,AUXIA ASS,Hors mandat AUXIA ASSISTANCE,0,160262.42999999993,1313140.17,,PP_FAC_Taux,AUXIA ASS HM ACT COTE,2026-03-05T00:00:00
EXPORT_PRMP_ADP,2026-03-05T00:00:00,Groupe MH,AUXIA ASSISTANCE,AAS2E,FR0000986531,SELECTION VALEURS MOYENNES,985.94,2026-03-03T00:00:00,P,737,1,291444.63,291444.63,726637.78,PP,FC_Act_EUR,PP_FAC_Act_EUR_SMC,FR41,5873302,PP_FAC_Act_EUR_SMC,291444.63,435193.15,M7EM,0.0162716277051581,738461.3594326625,447016.7294326625,AUXIA ASS,Hors mandat AUXIA ASSISTANCE,0,447016.7294326625,738461.3594326625,2026-03-04T00:00:00,PP_FAC_Act,AUXIA ASS HM ACT COTE,2026-03-05T00:00:00
EXPORT_PRMP_ADP,2026-03-05T00:00:00,Groupe MH,AUXIA ASSISTANCE,AAS2E,FR0007022967,LBPAM ACTIONS CROISSANCE EURO M,6454.44,2026-03-03T00:00:00,P,80,1,354119.48,354119.48,516355.2,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873491,PP_FAC_Act_EUR_LC,354119.48,162235.72000000003,M7EM,0.0162716277051581,524757.1395780224,170637.65957802243,AUXIA ASS,Hors mandat AUXIA ASSISTANCE,0,170637.65957802243,524757.1395780224,2026-03-04T00:00:00,PP_FAC_Act,AUXIA ASS HM ACT COTE,2026-03-05T00:00:00
EXPORT_PRMP_ADP,2026-03-05T00:00:00,Groupe MH,AUXIA ASSISTANCE,AAS2E,FR0007475975,MH Lazard action euro LC,497.13,2026-03-03T00:00:00,P,4450.77846,1,1058205.1096047643,1058205.1096047643,2212615.5,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,8009926,PP_FAC_Act_EUR_LC,1058205.1096047643,1154410.3903952357,M7EM,0.0162716277051581,2248618.355670662,1190413.2460658979,AUXIA ASS,Hors mandat AUXIA ASSISTANCE,0,1190413.2460658979,2248618.355670662,2026-03-04T00:00:00,PP_FAC_Act,AUXIA ASS HM ACT COTE,2026-03-05T00:00:00
EXPORT_PRMP_ADP,2026-03-05T00:00:00,Groupe MH,AUXIA ASSISTANCE,AAS2E,FR0007074166,LBPAM ACTIONS VALUE EURO,3374.65,2026-03-03T00:00:00,P,360,1,482660.91000000003,482660.91000000003,1214874,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873493,PP_FAC_Act_EUR_LC,482660.91000000003,732213.09,M7EM,0.0162716277051581,1234641.9774366762,751981.0674366761,AUXIA ASS,Hors mandat AUXIA ASSISTANCE,0,751981.0674366761,1234641.9774366762,2026-03-04T00:00:00,PP_FAC_Act,AUXIA ASS HM ACT COTE,2026-03-05T00:00:00
EXPORT_PRMP_ADP,2026-03-05T00:00:00,Groupe MH,AUXIA ASSISTANCE,AAS2E,FR0007078480,LBPAM ACTIONS EURO LARGE CAP M,4064.6,2026-03-03T00:00:00,P,459,1,824285.82,824285.82,1865651.4,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,4597012,PP_FAC_Act_EUR_LC,824285.82,1041365.58,M7EM,0.0162716277051581,1896008.5850084068,1071722.7650084067,AUXIA ASS,Hors mandat AUXIA ASSISTANCE,0,1071722.7650084067,1896008.5850084065,2026-03-04T00:00:00,PP_FAC_Act,AUXIA ASS HM ACT COTE,2026-03-05T00:00:00
EXPORT_PRMP_ADP,2026-03-05T00:00:00,Groupe MH,AUXIA ASSISTANCE,AAS2E,FR0007057674,FEDERIS ISR ACTIONS US MM,4454.22,2026-03-03T00:00:00,P,253,1,678111.4199999999,678111.4199999999,1126917.66,PP,FC_Act_US,PP_FAC_Act_US_LC,FR41,5876542,PP_FAC_Act_US_LC,678111.4199999999,448806.24,,0,1126917.66,448806.24,AUXIA ASS,Hors mandat AUXIA ASSISTANCE,0,448806.24,1126917.66,,PP_FAC_Act,AUXIA ASS HM ACT COTE,2026-03-05T00:00:00
